Altium Designer Pick and Place Locations
D:\Altium\Demo Pro\Project Outputs for Demo Pro\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       15-07-26
Time:       03:22
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"Y1","24MHz","TopLayer","XTAL_3225","80.1000","70.0500","0","Crystal SMD 24MHz 10PPM 7pF 3225"
"U3","MPU-6050","TopLayer","IS-QFN-24_V","82.5250","85.0000","270","3-Axis Gyroscope, Accelerometer and a Digital Motion Processor(TM) (DMP), 2.375 to 3.46 V, -40 to 85 degC, 24-Pin QFN, RoHS, Tape and Reel"
"U2","STM32F411CEU6","TopLayer","STM-UFQFPN48_L","89.7500","74.5000","0","ARM Cortex-M4 32-bit MCU+FPU, 512 KB Flash, 128 KB RAM, 36 I/Os, 48-Pin UFQFPN, -40 to 85 degC, Tray"
"U1","AMS1117-3.3","TopLayer","FP-AMS1117-IPC_C","100.7500","60.5000","270","LDO Voltage Regulators 1A, 3.3V"
"R7","10k","TopLayer","RES_0402","100.7500","88.2500","0","Resistor SMD 0402"
"R6","10k","TopLayer","RES_0402","88.5000","82.0000","270","Resistor SMD 0402"
"R5","1k","TopLayer","RES_0402","95.5000","71.0000","0","Resistor SMD 0402"
"R4","2k2","TopLayer","RES_0402","88.7500","83.7500","180","Resistor SMD 0402"
"R3","2k2","TopLayer","RES_0402","90.7500","83.7500","0","Resistor SMD 0402"
"R2","0R","TopLayer","RES_0402","81.7500","73.7500","0","Resistor SMD 0402"
"R1","1k","TopLayer","RES_0402","108.7500","63.0000","270","Resistor SMD 0402"
"J3","SM06B-GHS-TB","TopLayer","SM06B-GHS-TB","85.5000","60.7500","0","Header Connector 6 Position 1.25MM Pitch SMD Horizontal JST GH"
"J2","TC2030-NL","TopLayer","TC2030-NL-FP","100.2500","85.3850","180","Tag-Connect No-Solder SWD Debug Connector (No Legs) DO NOT PLACE"
"J1","473460001","TopLayer","FP-473460001-MFG","108.5200","75.7500","90","CONN RCPT USB2.0 MICRO B SMD R/A"
"FB1","120R","TopLayer","FB_0603","103.5000","73.2500","180","Ferrite Bead SMD 0603"
"D2","RED","TopLayer","LED_0402_RED","95.3560","72.2890","0","LED 0402 RED SMD"
"D1","GREEN","TopLayer","LED_0402_GREEN","108.7500","60.2500","90","LED 0402 GREEN SMD"
"C18","2n2","TopLayer","CAP_0402","86.0000","83.7500","90","Capacitor SMD 0402"
"C17","10n","TopLayer","CAP_0402","79.0000","86.2500","90","Capacitor SMD 0402"
"C16","100n","TopLayer","CAP_0402","79.0000","84.2500","90","Capacitor SMD 0402"
"C15","100n","TopLayer","CAP_0402","81.0000","80.2500","0","Capacitor SMD 0402"
"C14","100n","TopLayer","CAP_0402","98.2500","88.2500","0","Capacitor SMD 0402"
"C13","2u2","TopLayer","CAP_0603","90.7500","69.5000","0","Capacitor SMD 0603"
"C12","100n","TopLayer","CAP_0402","87.2500","79.2500","180","Capacitor SMD 0402"
"C11","100n","TopLayer","CAP_0402","94.5000","77.2500","90","Capacitor SMD 0402"
"C10","100n","TopLayer","CAP_0402","93.2500","69.5000","0","Capacitor SMD 0402"
"C9","100n","TopLayer","CAP_0402","84.7500","72.7500","270","Capacitor SMD 0402"
"C8","100n","TopLayer","CAP_0402","84.7500","76.7500","90","Capacitor SMD 0402"
"C7","2.2u","TopLayer","CAP_0603","83.5000","76.7500","90","Capacitor SMD 0603"
"C6","10p","TopLayer","CAP_0402","81.7500","72.5000","180","Capacitor SMD 0402"
"C5","10p","TopLayer","CAP_0402","79.2500","72.7500","0","Capacitor SMD 0402"
"C4","22u","TopLayer","CAP_0805","106.0000","60.8570","270","Capacitor SMD 0805"
"C3","22u","TopLayer","CAP_0805","100.8930","66.0000","180","Capacitor SMD 0805"
"C2","2.2u","TopLayer","CAP_0603","102.5000","70.2500","90","Capacitor SMD 0603"
"C1","2.2u","TopLayer","CAP_0603","104.2500","70.2500","90","Capacitor SMD 0603"
